id,name,external_id,parent_id
3677,Телефоны и гаджеты,1,
3703,Телефоны,10001,3677
3883,Смартфоны,20001,3703
3961,Мобильные телефоны,21056,3703
3707,Аксессуары к телефонам,10005,3677
3885,Чехлы для смартфонов,20004,3707
4143,Стекла и пленки,22009,3707
4169,Зарядные устройства,30859,3707
3947,Зарядные устройства-роутеры,21040,3707
13923,Дисплеи для смартфонов,40572,3707
3946,Внешние аккумуляторы,21039,3707
4168,Переходники,22075,3707
3886,Кабели для телефонов,20008,3707
131490228,Аккумуляторы для телефонов,85583,
542436650,Наклейки для телефонов,96239,
269487117,Системы охлаждения для смартфонов,85446,
244783058,Смарт-линзы для смартфонов,88067,
431317695,Чехлы для зарядных устройств и кабелей,94669,
3705,Гаджеты и аксессуары,10003,3677
3887,Наушники,20009,3707
3884,Смарт-часы,20002,3705
91836883,Зарядные устройства для смарт-часов и фитнес-браслетов,44930,
4620,Чехлы для наушников,37019,3707
3896,Экшн-камеры,20043,3705
4142,Очки виртуальной реальности,22003,3705
4619,Чехлы для смарт-часов и фитнес-браслетов,36972,3707
10740009,Рации и радиостанции,41622,3705
3987,Ремешки для смарт часов,21083,3707
3910,Кабели и адаптеры для наушников,20153,3707
431295641,Bluetooth-трекеры,94712,
127887811,Аксессуары для очков виртуальной реальности,85360,
151282700,Аксессуары для раций и радиостанций,86966,
560356468,"Защитные пленки и стекла для смарт-часов, фитнес-браслетов",96331,
128816608,Очки дополненной реальности,85404,
358155924,Электронные переводчики,93610,
3706,Планшеты и электронные книги,10004,3677
3900,Планшеты,20087,3706
3962,Чехлы для планшетов,21057,3706
3891,Электронные книги,20019,3706
3944,Стилусы,21037,3706
168658985,Держатели для планшетов,85945,
431292023,Защитные пленки и стекла для планшетов,94632,
131641379,Чехлы для электронных книг,85957,
3704,Офисная телефония,10002,3677
3888,Dect-телефоны,20010,3704
3889,Проводные телефоны,20014,3704
3678,Ноутбуки и компьютеры,2,
3780,Ноутбуки и аксессуары,32769,3678
3901,Ноутбуки,20088,3780
73030432,Аккумуляторы для ноутбуков,44125,3780
4907,Блоки питания для ноутбуков,40021,3780
4928,Подставки для ноутбуков,40221,3780
109463902,Док-станции для ноутбуков,57721,
177737747,Замки для ноутбуков,87478,
431317132,Защитные пленки и стекла для ноутбуков,94623,
154887078,Клавиатуры для ноутбуков,87014,
3781,Настольные компьютеры,32770,3678
3902,Моноблоки,20090,3781
6204,Неттопы,40319,3781
4273,Системные блоки,32771,3781
177984139,OPS-компьютеры,87480,
3735,Периферийные устройства и аксессуары,10036,3678
3894,Мониторы,20037,3735
4335,Графические планшеты,33350,3735
3960,Клавиатуры,21055,3735
3906,Компьютерные колонки,20125,3735
3907,Веб-камеры,20128,3735
4000,Внешние жесткие диски,21102,3735
4497,Держатели проводов и наушников,35026,3735
4145,Ибп и стабилизаторы,22018,3735
80619485,Картридеры,44083,3735
108459126,Внешние боксы для накопителей,57787,
3911,Коврики для мыши,20155,3735
4492,Компьютерные кабели и переходники,34973,3735
3959,Компьютерные мыши,21054,3735
107411537,Контроллеры для стриминга,57548,
3909,Модемы и роутеры,20139,3735
4024,USB Flash карты,21131,3735
64089036,Подставки для мониторов,43777,3735
142247337,Держатели для провода мыши,86130,
258474211,Зарядные док-станции для мышей,87500,
204228378,Инструменты для обслуживания клавиатур,87919,
131919260,Кейкапы для клавиатур,86023,
142247209,Крепления для мониторов,86746,
190640114,Наклейки для мыши,87038,
330876515,Наклейки на клавиатуру,87956,
257302083,Переключатели для клавиатур,88055,
131926062,Подставки под запястье,86636,
208908388,Светильники для устройств,86422,
204228377,Сумки и чехлы для мыши,87878,
3708,Комплектующие и аксессуары,10007,3678
3983,Процессоры,21079,3708
4016,Блоки питания,21121,3708
3903,Видеокарты,20093,3708
3908,Внутренние жесткие диски,20134,3708
4542,Корпуса,35769,3708
4144,Кулеры и системы охлаждения,22017,3708
3986,Материнские платы,21082,3708
3985,Оперативная память (озу),21081,3708
557676,Оптические приводы,41269,3708
4646,Термоинтерфейсы,37275,3708
190508362,Аксессуары для систем охлаждения,87293,
204336785,Внешние корпуса и держатели для видеокарт,87621,
431321033,Крепления для вентиляторов,94696,
132597551,Крепления для накопителей,86007,
204069755,Крепления для процессоров,87750,
431321035,Крепления для системных блоков,94698,
204259842,Решетки и фильтры для вентиляторов,87052,
165767283,Системы подсветки,87099,
142247148,Устройства расширения,85666,
431302114,Фитинги для системы водяного охлаждения,94434,
3709,Оргтехника и расходные материалы,10008,3678
4890,3D-принтеры,39793,3709
3965,Принтеры,21060,3709
3943,Сканеры,21002,3709
3904,МФУ,20105,3709
3905,Картриджи,20106,3709
20357018,Ламинаторы,41730,3709
4458,Уничтожители документов,34587,3709
107556933,Пластик для 3D-печати,57552,
4675,Фотобарабаны,37721,3709
107556939,Фотополимерные смолы для 3D-печати,57600,
4714,Брошюровщики,38085,3709
417374555,3D Сканеры,93826,
204260085,Автоподатчики для принтеров и МФУ,87101,
417436411,Аксессуары для 3D-принтеров,93902,
142247397,Емкости для отработанных чернил,86282,
131929932,Запчасти и комплектующие для принтеров,85979,
432867095,Запчасти и комплектующие для сканеров,95033,
4495,Компактные фотопринтеры,35021,3745
432867097,Масла и смазки для оргтехники,95035,
338308413,Перезаправляемые картриджи,86476,
179955020,Печатающие головки,87468,
431148355,Режущие плоттеры,94306,
129483136,Термопрессы,85481,
142247457,Тонеры для принтера,86412,
431321102,Форматтеры,94626,
222183735,Фьюзерные модули,85892,
130018455,Чернила для принтера,85541,
3855,Электронное оборудование для торговли,38423,3678
4743,POS-системы,38424,3855
34422356,Детекторы банкнот,42369,3855
4744,Принтеры чеков и этикеток,38426,3855
4746,Сканеры штрих-кода,38430,3855
34457505,Счетчики банкнот,42371,3855
204260700,Аксессуары для сканеров штрих-кода,87301,
209098509,Счетчики монет,87145,
432867119,Счетчики посетителей,95029,
204260272,Терминалы сбора данных,87189,
240057434,Торговые весы,88059,
431317823,Чехлы для принтеров чеков,94673,
3814,Сетевое оборудование,34771,3678
1034633,Коммутаторы и маршрутизаторы,41225,3814
2196740,Медиаконвертеры,39785,3814
15931096,Трансиверы,41662,3814
4710,Усилители сотового сигнала,38074,3814
131903771,Bluetooth адаптеры,85686,
545594629,Боксы для MPO кассет,96280,
431321037,Межсетевые экраны,94704,
560356469,Модуль-заглушки,96334,
164838748,Патч-панели,86634,
131924656,Сетевые карты,86448,
131787142,Сетевые хранилища,86450,
132058170,Усилители интернет-сигнала,86462,
164387394,IP-телефония и конференц-оборудование,85789,
20409,IP-телефоны,40869,3709
431317443,Автоматические телефонные станции,94650,
164387396,Аналоговые телефонные адаптеры,85790,
431317380,Базовые станции,94646,
545594632,Межсетевые шлюзы,96284,
129736778,Спикерфоны,85531,
432429067,Другая периферия,94973,
151282639,Аккумуляторы для ИБП,86952,
431320972,Аксессуары для ИБП,94694,
255485979,Док-станции для накопителей,87962,
149956618,Карты видеозахвата,86909,
168700911,Оптические носители,86176,
209049778,Футляры для дисков,87861,
151282577,Микрокомпьютеры и аксессуары,86915,
151282638,Датчики для микрокомпьютеров,86916,
204260842,Микрокомпьютеры,87724,
281405701,Модули для микрокомпьютеров,87992,
545594628,Серверное оборудование,96295,
4482,Серверные шкафы,34772,3814
142247521,Серверные блоки питания,86602,
545594635,Серверные платформы,96292,
131858554,Серверы,86440,
3682,"ТВ, Аудио, Видео",6,
3724,Видеотехника,10024,3682
3892,Телевизоры,20029,3724
6203,Цифровое и спутниковое ТВ,40271,3724
553690,Презентеры,41273,3724
551034,Пульты для аудио и видеотехники,41320,3724
62762354,Видеокабели и переходники,44019,3724
398504295,Видеомикшеры,93805,
129339708,Интерактивные панели,85472,
307641689,Отражатели,86162,
337081346,Светодиодные экраны,88233,
131946707,Телевизионные антенны,86407,
339389823,Телесуфлеры,91366,
3725,Домашние кинотеатры и hi-fi техника,10025,3682
4159,Саундбары,22056,3725
3734,Игровые приставки и аксессуары,10035,3678
3980,Игровые приставки,21076,3734
4025,Игры для приставок,21132,3734
20406,Аксессуары для игровых приставок,40821,3734
3981,Джойстики,21077,3734
3726,Аудиотехника,10026,3682
4337,Портативные колонки,33372,3726
4161,Музыкальные центры,22062,3726
4300,Караоке-системы,33127,3726
4299,Микрофоны,33125,3726
68584151,Аудиокабели и переходники,44072,3724
4309,Микрофонные стойки,33148,3726
4438,Аксессуары для микрофонов,34421,3726
4160,Mp3-плееры,22060,3726
4308,Микшерные пульты,33147,3726
30812694,Аудиоусилители и ресиверы,41919,3726
4858,Виниловые проигрыватели,39469,3726
15878160,Радиоприемники,41660,3726
432867072,CD-проигрыватели,94700,
398504296,DJ контроллеры,93802,
431317890,Аккумуляторы для портативных колонок,94679,
131564213,Аксессуары для виниловых проигрывателей,85654,
234573107,Акустические стойки,88047,
131553935,Амбушюры для наушников,85785,
204169216,Грили и панели для акустики,87870,
131591277,Диктофоны и портативные рекордеры,85656,
131639221,Директ-боксы,86136,
204069753,Кронштейны для акустики,87740,
131583442,Кроссоверы для звука,85652,
182357420,Подставки для наушников,87358,
367962475,Сетевые проигрыватели,93592,
131639222,Фонокорректоры,86152,
3727,Аксессуары для Тв и аудио,10027,3682
3893,Тв приставки и тв тюнеры,20031,3727
3984,Проекторы,21080,3727
4876,Медиаплееры,39721,3727
4498,Экраны для проекторов,35028,3727
4535,Рамки для телевизоров,35619,3727
3939,Подставки и держатели,20443,3727
3890,Акустические системы,20016,3727
131940039,Крепления для проекторов,86329,
204169217,Лампы для проекторов,86327,
281560380,Сумки и чехлы для проекторов,86198,
131500221,Сценическое оборудование,85434,
469597022,LED стробоскопы,95493,
469597021,LED эффекты,95486,
131584889,Вращающиеся головы и сканеры,85662,
131500279,Генераторы спецэффектов,85435,
469597024,Лазерные эффекты,95503,
469597023,Прожекторы LED PAR,95501,
3679,Кухонная техника,3,
3711,Крупная кухонная техника,10010,3679
3919,Холодильники,20181,3711
3920,Морозильники,20182,3711
3921,Посудомоечные машины,20183,3711
3922,Кухонные плиты,20184,3711
3926,Микроволновые печи,20198,3711
9732018,Кулеры для воды,41571,3711
431201649,Винные шкафы,94354,
3712,Встраиваемая техника,10011,3679
3923,Вытяжки,20185,3712
3924,Духовые шкафы,20194,3712
3925,Панели газовые и электрические,20195,3712
3714,Мелкая кухонная техника,10013,3679
3950,Автоматические кофемашины,21044,3714
4146,Аксессуары для кухонной техники,22024,3714
3973,Аэрогрили,21068,3714
3929,Блендеры,20205,3714
4700,Электрогрили,37988,3731
15933886,Вакуумные упаковщики,41664,3714
4510,Вспениватели,35174,3714
4813,Дистилляторы,38878,3714
3928,Измельчители,20203,3714
3982,Йогуртницы,21078,3714
3927,Кофемашины и Кофеварки,20200,3714
3952,Кофемолки,21046,3714
3967,Кухонные весы,21062,3714
3972,Кухонные комбайны,21067,3714
84180807,Машинки для приготовления пасты,21052,
3951,Миксеры,21045,3714
3955,Электропечь,21049,3714
97095417,Мороженицы,45045,
3956,Мультиварки,21050,3714
3958,Мультипекари,21053,3714
3954,Мясорубки,21048,3714
17599560,Настольные плиты,41672,3714
4149,Пароварки,22027,3714
7780387,Помпы для воды,41575,3714
32539826,Самовары,41670,3714
3945,Соковыжималки,21038,3714
3971,Сушилки для овощей,21066,3714
3970,Термопоты,21065,3714
4761,Тестомесы,38669,3714
3968,Тостеры,21063,3714
4148,Фритюрницы,22026,3714
4147,Хлебопечи,22025,3714
3974,Электрические грили,21069,3714
103271347,Электрокипятильники погружные,45435,
3953,Электрочайники,21047,3714
131570523,Безмены,85828,
330457187,Блинницы,88249,
204169215,Коптильные пистолеты,85987,
129359653,Льдогенераторы,85478,
209098569,Попкорницы,87356,
131658246,Тестораскаточные машины,85520,
432867021,Ультразвуковые очистители,94656,
466375684,Электрические ланч-боксы,95478,
417385068,Электроказаны,93906,
431398305,Электросковородки,94933,
3731,Торговая техника,10032,3679
4701,Конвекционные печи,37990,3731
4698,Сокоохладители,37983,3731
106385624,Аппараты для приготовления сахарной ваты,57248,
3949,Холодильные витрины,21043,3731
4763,Жарочные шкафы,38673,3711
4702,Электрокипятильники,37992,3731
73030407,Су-вид аппараты,44121,3714
129311826,Автоклавы,85444,
131838173,Аксессуары для кухонных плит,85724,
280192707,Аппараты для приготовления шаурмы,85512,
431211626,Картофелеочистительные машины,94369,
120219436,Кофейные автоматы,85147,
431218144,Кофемашины для ресторанов и кафе,94374,
431224972,Кухонные плиты для ресторанов и кафе,94378,
128865824,Кухонные таймеры,83895,
475160820,Лампы для подогрева блюд,95866,
475160819,Макароноварки,95849,
255485977,Печи для пиццы,88109,
431131763,Пилы ленточные пищевые,93964,
339472938,Пищевые принтеры,91368,
204178094,Подогреватели посуды,87360,
431191491,Промышленные тестомесильные машины,94346,
431191494,Промышленные тестораскаточные машины,94343,
431191493,Промышленные фритюрницы,94340,
232991030,Расстоечные шкафы,85514,
431217977,Стерилизатор для ножей,94367,
142340981,Термощупы,86249,
132026286,Холодильные столы,86689,
134468863,Шоколадные фонтаны,86798,
431217976,Электрический мармит,94372,
3680,Техника для дома,4,
3716,Крупная техника для дома,10015,3680
3913,Стиральные машины,20166,3716
3917,Сушильные автоматы,20176,3716
3914,Пылесосы,20167,3716
73551459,Паровые шкафы,44119,3716
22008791,Малая техника для дома,41771,3680
22010000,Электрические стеклоочистители,41772,22008791
3940,Напольные весы,20564,3719
204323908,Вышивальные машины,87608,
132023558,Вязальные машины,86703,
432867096,Гладильные прессы,95027,
134468922,Отпариватели,86802,
129188715,Пароочистители,85420,
142247274,Станции самоочистки для пылесосов и роботов-пылесосов,86045,
429311220,Ультразвуковые устройства для стирки,93734,
3918,Электровеники и электрошвабры,20177,3732
3717,Климатическая техника,10016,3680
3930,Кондиционеры,20208,3717
3932,Увлажнители и очистители воздуха,20210,3717
15873981,"Комплектующие для увлажнителей, очистителей и осушителей",41658,3717
3934,Обогревательные приборы,20212,3717
3988,Отопительные котлы,21084,3717
3931,Водонагреватели,20209,3717
4267811,Озонаторы,41487,3717
3933,Вентиляторы,20211,3717
434230550,Барометры,95099,
431405251,Воздушные завесы,94935,
151282824,Комплектующие для водонагревателей,86242,
205342802,Комплектующие для кондиционеров,86994,
153029769,Осушители воздуха,85462,
127853941,Рекуператоры,85354,
3720,Умный дом,10019,3680
4712,Датчики для умного дома,38081,3720
4722,Комплекты умного дома,38169,3720
