merchant_name,category_id,category_name
2People,1,Телефоны и гаджеты
AQ-Store,1,Телефоны и гаджеты
Akses,1,Телефоны и гаджеты
Akses.03,1,Телефоны и гаджеты
Artface Сompany,1,Телефоны и гаджеты
BEST PRICE,1,Телефоны и гаджеты
Bek group,1,Телефоны и гаджеты
Comfort to your home,1,Телефоны и гаджеты
Crazy_case,1,Телефоны и гаджеты
DILLION MART “DMR”,1,Телефоны и гаджеты
Dragon,1,Телефоны и гаджеты
E-COM.kz,1,Телефоны и гаджеты
E-Commerce,1,Телефоны и гаджеты
EAST BREEZE,1,Телефоны и гаджеты
Europharma Алматы,1,Телефоны и гаджеты
Europharma Нур-Султан,1,Телефоны и гаджеты
Fora,1,Телефоны и гаджеты
Fresh breeze,1,Телефоны и гаджеты
GB-Academy,1,Телефоны и гаджеты
Hoco.kz,1,Телефоны и гаджеты
IT Sklad,1,Телефоны и гаджеты
KupiSam.kz,1,Телефоны и гаджеты
MARWIN-МЕЛОМАН,1,Телефоны и гаджеты
Magnit-it,1,Телефоны и гаджеты
Mechta.kz,1,Телефоны и гаджеты
Mia store,1,Телефоны и гаджеты
Mobile Technology,1,Телефоны и гаджеты
Mobilix,1,Телефоны и гаджеты
My Case,1,Телефоны и гаджеты
New case,1,Телефоны и гаджеты
Nur.mobile.pvl,1,Телефоны и гаджеты
Perspective,1,Телефоны и гаджеты
Power Plus,1,Телефоны и гаджеты
Qajet All,1,Телефоны и гаджеты
QazTech,1,Телефоны и гаджеты
REAL-PRICE.kz,1,Телефоны и гаджеты
SAB_Phones,1,Телефоны и гаджеты
Sauda24.kz,1,Телефоны и гаджеты
Smart Technology,1,Телефоны и гаджеты
Smartbuy Казахстан-HLK,1,Телефоны и гаджеты
Sulpak,1,Телефоны и гаджеты
TechnoLider,1,Телефоны и гаджеты
TechoHub.,1,Телефоны и гаджеты
VERTEL Store,1,Телефоны и гаджеты
_ALGA_,1,Телефоны и гаджеты
i Salem,1,Телефоны и гаджеты
iSpace,1,Телефоны и гаджеты
iroom,1,Телефоны и гаджеты
smartmobi.kz,1,Телефоны и гаджеты
БЕРЕКЕ HOME,1,Телефоны и гаджеты
ДОЛЯМИ.kz,1,Телефоны и гаджеты
ИП Goodki,1,Телефоны и гаджеты
ИП Maratovna,1,Телефоны и гаджеты
ИП QPICK,1,Телефоны и гаджеты
ИП АУКИРОВА Д.А,1,Телефоны и гаджеты
ИП Жумалина,1,Телефоны и гаджеты
ИП Оразбаев,1,Телефоны и гаджеты
ИП Сапина,1,Телефоны и гаджеты
Империя чехлов,1,Телефоны и гаджеты
Казахтелеком Магазин,1,Телефоны и гаджеты
МагазинНаЗападе,1,Телефоны и гаджеты
О'КЕЙ,1,Телефоны и гаджеты
ПРИОЛЬ,1,Телефоны и гаджеты
Планета Электроники,1,Телефоны и гаджеты
ТехноGRAD,1,Телефоны и гаджеты
AVLINE ELECTRONICS,85583,Аккумуляторы для телефонов
Hoco.kz,85583,Аккумуляторы для телефонов
